label,network,n,k,pr,m,gamma,rep,fitness,p1,p2,tau,burn_per_node,measure_per_node
BA m=5,ba,500,,,5,0.8,1,4.1784999999999994e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.8,2,4.2174999999999995e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.86,0,2.382e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.86,1,2.3005e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.86,2,2.4025e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.9199999999999999,0,4.185e-06,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.9199999999999999,1,5.76e-06,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.9199999999999999,2,3.41e-06,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.98,0,-1.343e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.98,1,-1.322e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.98,2,-1.446e-05,0.02,0.85,0.01,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.08,0,9.415e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.08,1,8.144999999999999e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.08,2,6.88e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.105,0,1.647e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.105,1,1.3935e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.105,2,1.1264999999999998e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.13,0,1.9544999999999997e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.13,1,1.5665e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.13,2,2.4215e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.155,0,2.349e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.155,1,2.6085000000000002e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.155,2,2.2765e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.18,0,2.213e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.18,1,1.7965e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.18,2,1.912e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.205,0,2.3885e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.205,1,2.423e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.205,2,2.266e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.22999999999999998,0,2.584e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.22999999999999998,1,2.748e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.22999999999999998,2,2.3145000000000003e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.255,0,2.693e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.255,1,2.1405e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.255,2,2.007e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.27999999999999997,0,2.3045e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.27999999999999997,1,2.451e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.27999999999999997,2,2.998e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.305,0,2.2175e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.305,1,2.1655000000000002e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.305,2,2.5824999999999998e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.32999999999999996,0,2.1794999999999997e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.32999999999999996,1,2.0465e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.32999999999999996,2,1.7974999999999996e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.355,0,1.6859999999999998e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.355,1,1.8005e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.355,2,2.1015e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.38,0,1.6565e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.38,1,1.502e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.38,2,1.5700000000000002e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.40499999999999997,0,1.1115e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.40499999999999997,1,1.0945000000000001e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.40499999999999997,2,1.0775000000000001e-05,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.43,0,8.315e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.43,1,8.554999999999999e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.43,2,8.324999999999999e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.45499999999999996,0,7.0399999999999995e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.45499999999999996,1,6.86e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.45499999999999996,2,3.615e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.48,0,6.700000000000001e-07,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.48,1,2.6300000000000002e-06,0.095,0.745,0.05,100,100
"WS k=6, p_r=1",ws,500,6,1.0,,0.48,2,2.66e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.08,0,8.895e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.08,1,6.015e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.08,2,5.9700000000000004e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.105,0,1.1570000000000001e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.105,1,1.2605e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.105,2,1.2385000000000001e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.13,0,1.9205000000000003e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.13,1,1.1985e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.13,2,1.9615e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.155,0,1.982e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.155,1,2.4075000000000002e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.155,2,1.9775e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.18,0,1.768e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.18,1,1.8135000000000002e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.18,2,1.606e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.205,0,2.1075e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.205,1,2.3380000000000003e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.205,2,2.238e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.22999999999999998,0,2.395e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.22999999999999998,1,2.432e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.22999999999999998,2,1.9665e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.255,0,2.133e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.255,1,1.7315e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.255,2,1.8419999999999996e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.27999999999999997,0,2.2495e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.27999999999999997,1,2.263e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.27999999999999997,2,2.283e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.305,0,2.0395e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.305,1,2.1875e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.305,2,1.9085e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.32999999999999996,0,1.8695000000000003e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.32999999999999996,1,1.7375000000000002e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.32999999999999996,2,1.8975e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.355,0,1.5040000000000002e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.355,1,1.3684999999999999e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.355,2,1.7085000000000003e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.38,0,1.1355e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.38,1,1.441e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.38,2,1.206e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.40499999999999997,0,9.965e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.40499999999999997,1,1.1884999999999999e-05,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.40499999999999997,2,8.225e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.43,0,9.255e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.43,1,4.574999999999999e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.43,2,5.895e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.45499999999999996,0,4.25e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.45499999999999996,1,2.78e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.45499999999999996,2,2.7950000000000003e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.48,0,5.7e-07,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.48,1,3.23e-06,0.095,0.745,0.05,100,100
BA m=3,ba,500,,,3,0.48,2,1.5100000000000004e-06,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.08,0,1.2495e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.08,1,5.644999999999999e-06,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.08,2,5.8899999999999995e-06,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.105,0,1.4000000000000001e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.105,1,1.4655e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.105,2,1.2784999999999999e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.13,0,1.7225e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.13,1,1.6525e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.13,2,1.9455e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.155,0,2.031e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.155,1,2.2665e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.155,2,1.9155000000000002e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.18,0,2.1419999999999998e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.18,1,1.7644999999999998e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.18,2,1.5819999999999998e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.205,0,2.1115e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.205,1,2.3259999999999998e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.205,2,2.128e-05,0.095,0.745,0.05,100,100
BA m=5,ba,500,,,5,0.22999999999999998,0,2.167e-05,0.095,0.745,0.05,100,100
